55632|Nueva Empresa|1231|132|12/10/2011|512.00|521.00|521.00|512.00|512.00|V|212
455566|cliente xx|12231|1231|12/10/2011|1323.00|123.00|213.00|232.00|12.00|V|21332
1212455|empresa xxx33|1223|123|04/10/2011|500.00|120.00|120.00|260.00|65.00|v|123
12234|dani quinteros|1|32213|01/10/2011|1200.00|100.00|12.00|1088.00|156.00|V|2312356
12234|dani quinteros|2|32213|01/10/2011|1200.00|100.00|12.00|1088.00|156.00|V|2312356
12234|dani quinteros|3|32213|01/10/2011|1200.00|100.00|12.00|1088.00|156.00|V|2312356
12234|dani quinteros|4|32213|01/10/2011|1200.00|100.00|12.00|1088.00|156.00|V|2312356
12234|dani quinteros|5|32213|01/10/2011|1200.00|100.00|12.00|1088.00|156.00|V|2312356
12234|dani quinteros|6|32213|01/10/2011|1200.00|100.00|12.00|1088.00|156.00|V|2312356
12234|dani quinteros|7|32213|01/10/2011|1200.00|100.00|12.00|1088.00|156.00|V|2312356
12234|dani quinteros|8|32213|01/10/2011|1200.00|100.00|12.00|1088.00|156.00|V|2312356
12234|dani quinteros|9|32213|01/10/2011|1200.00|100.00|12.00|1088.00|156.00|V|2312356
1212122|danilo|10|123|12/10/2011|1000.00|123.00|12.00|865.00|130.00|e|12112132
12234|dani quinteros|11|32213|01/10/2011|1200.00|100.00|12.00|1088.00|156.00|V|2312356
12234|dani quinteros|12|32213|01/10/2011|1200.00|100.00|12.00|1088.00|156.00|V|2312356
12234|dani quinteros|13|32213|01/10/2011|1200.00|100.00|12.00|1088.00|156.00|V|2312356
12234|dani quinteros|14|32213|01/10/2011|1200.00|100.00|12.00|1088.00|156.00|V|2312356
12234|dani quinteros|15|32213|01/10/2011|1200.00|100.00|12.00|1088.00|156.00|V|2312356
12234|dani quinteros|16|32213|01/10/2011|1200.00|100.00|12.00|1088.00|156.00|V|2312356
6282831017|pamela|1|0|11/10/2011|10000.00|0.00|0.00|10000.00|1300.00|V|0
